collocate,window_freq,pmi,t_score,global_freq
labyrinthin,1,8.36839581882838,0.9954819907129809,3
eureka,1,8.36839581882838,0.9954819907129809,3
delighted,1,8.36839581882838,0.9954819907129809,3
overview,1,8.36839581882838,0.9954819907129809,3
mad,1,8.046467723941019,0.9939759876173079,4
fueled,1,8.046467723941019,0.9939759876173079,4
hated,1,8.046467723941019,0.9939759876173079,4
ranging,1,8.046467723941019,0.9939759876173079,4
melancholic,1,8.046467723941019,0.9939759876173079,4
cruel,1,8.046467723941019,0.9939759876173079,4
punishment,1,8.046467723941019,0.9939759876173079,4
finger,1,8.046467723941019,0.9939759876173079,4
uneasy,1,8.046467723941019,0.9939759876173079,4
satirical,1,8.046467723941019,0.9939759876173079,4
buried,1,8.046467723941019,0.9939759876173079,4
invested,1,8.046467723941019,0.9939759876173079,4
voiced,1,8.046467723941019,0.9939759876173079,4
brother,1,8.046467723941019,0.9939759876173079,4
immigration,1,8.046467723941019,0.9939759876173079,4
monotony,1,8.046467723941019,0.9939759876173079,4
glory,1,8.046467723941019,0.9939759876173079,4
network,1,8.046467723941019,0.9939759876173079,4
rushing,1,8.046467723941019,0.9939759876173079,4
facing,1,8.046467723941019,0.9939759876173079,4
security,1,8.046467723941019,0.9939759876173079,4
maze,1,8.046467723941019,0.9939759876173079,4
deadly,1,8.046467723941019,0.9939759876173079,4
minimalist,1,8.046467723941019,0.9939759876173079,4
endearing,1,8.046467723941019,0.9939759876173079,4
nail,1,8.046467723941019,0.9939759876173079,4
socially,1,8.046467723941019,0.9939759876173079,4
futuristic,1,8.046467723941019,0.9939759876173079,4
sprinkled,1,8.046467723941019,0.9939759876173079,4
fashion,1,8.046467723941019,0.9939759876173079,4
simultaneously,1,8.046467723941019,0.9939759876173079,4
bump,1,8.046467723941019,0.9939759876173079,4
restriction,1,8.046467723941019,0.9939759876173079,4
cog,1,8.046467723941019,0.9939759876173079,4
whimsical,1,8.046467723941019,0.9939759876173079,4
favor,1,8.046467723941019,0.9939759876173079,4
naturally,1,7.783433318107225,0.9924699845216348,5
unfold,1,7.783433318107225,0.9924699845216348,5
cohesiv,1,7.783433318107225,0.9924699845216348,5
alley,1,7.783433318107225,0.9924699845216348,5
log,1,7.783433318107225,0.9924699845216348,5
chor,1,7.783433318107225,0.9924699845216348,5
bureau,1,7.783433318107225,0.9924699845216348,5
brick,1,7.783433318107225,0.9924699845216348,5
addictiv,1,7.783433318107225,0.9924699845216348,5
measur,1,7.783433318107225,0.9924699845216348,5
depiction,1,7.783433318107225,0.9924699845216348,5
frankly,1,7.783433318107225,0.9924699845216348,5
ex,1,7.783433318107225,0.9924699845216348,5
defens,1,7.783433318107225,0.9924699845216348,5
successfully,1,7.783433318107225,0.9924699845216348,5
dealing,1,7.783433318107225,0.9924699845216348,5
novella,1,7.783433318107225,0.9924699845216348,5
vaguely,1,7.783433318107225,0.9924699845216348,5
calling,1,7.783433318107225,0.9924699845216348,5
schem,1,7.783433318107225,0.9924699845216348,5
handed,1,7.783433318107225,0.9924699845216348,5
bioshock,1,7.783433318107225,0.9924699845216348,5
ensuring,1,7.783433318107225,0.9924699845216348,5
backbon,1,7.783433318107225,0.9924699845216348,5
comedy,1,7.783433318107225,0.9924699845216348,5
increasingly,1,7.561040896770777,0.9909639814259619,6
vib,1,7.561040896770777,0.9909639814259619,6
origin,1,7.561040896770777,0.9909639814259619,6
ideal,1,7.561040896770777,0.9909639814259619,6
screw,1,7.561040896770777,0.9909639814259619,6
repetition,1,7.561040896770777,0.9909639814259619,6
emotionally,1,7.561040896770777,0.9909639814259619,6
importantly,1,7.561040896770777,0.9909639814259619,6
akin,1,7.561040896770777,0.9909639814259619,6
paying,1,7.561040896770777,0.9909639814259619,6
sinister,1,7.561040896770777,0.9909639814259619,6
believabl,1,7.561040896770777,0.9909639814259619,6
tedium,1,7.561040896770777,0.9909639814259619,6
grotesqu,1,7.561040896770777,0.9909639814259619,6
relatively,1,7.561040896770777,0.9909639814259619,6
plotlin,1,7.561040896770777,0.9909639814259619,6
shak,1,7.561040896770777,0.9909639814259619,6
appreciated,1,7.561040896770777,0.9909639814259619,6
placed,1,7.561040896770777,0.9909639814259619,6
scenery,1,7.561040896770777,0.9909639814259619,6
dystopia,1,7.561040896770777,0.9909639814259619,6
randomly,1,7.561040896770777,0.9909639814259619,6
twisted,1,7.561040896770777,0.9909639814259619,6
claim,1,7.368395818828381,0.9894579783302888,7
listening,1,7.368395818828381,0.9894579783302888,7
experiencing,1,7.368395818828381,0.9894579783302888,7
f2p,1,7.368395818828381,0.9894579783302888,7
evocativ,1,7.368395818828381,0.9894579783302888,7
standing,1,7.368395818828381,0.9894579783302888,7
welcom,1,7.368395818828381,0.9894579783302888,7
grasp,1,7.368395818828381,0.9894579783302888,7
gain,1,7.368395818828381,0.9894579783302888,7
student,1,7.368395818828381,0.9894579783302888,7
thrown,1,7.368395818828381,0.9894579783302888,7
vagu,1,7.368395818828381,0.9894579783302888,7
hot,1,7.368395818828381,0.9894579783302888,7
devil,1,7.368395818828381,0.9894579783302888,7
bleak,1,7.368395818828381,0.9894579783302888,7
subject,1,7.368395818828381,0.9894579783302888,7
trapped,1,7.368395818828381,0.9894579783302888,7
humorou,1,7.368395818828381,0.9894579783302888,7
racial,1,7.368395818828381,0.9894579783302888,7
epic,1,7.368395818828381,0.9894579783302888,7
uncomfortabl,1,7.1984708173860685,0.9879519752346158,8
era,1,7.1984708173860685,0.9879519752346158,8
folk,1,7.1984708173860685,0.9879519752346158,8
navigating,1,7.1984708173860685,0.9879519752346158,8
shocking,1,7.1984708173860685,0.9879519752346158,8
equal,1,7.1984708173860685,0.9879519752346158,8
inducing,1,7.1984708173860685,0.9879519752346158,8
sell,1,7.1984708173860685,0.9879519752346158,8
dilemma,1,7.1984708173860685,0.9879519752346158,8
drag,1,7.1984708173860685,0.9879519752346158,8
insan,1,7.1984708173860685,0.9879519752346158,8
grim,1,7.1984708173860685,0.9879519752346158,8
asking,1,7.1984708173860685,0.9879519752346158,8
providing,1,7.1984708173860685,0.9879519752346158,8
weirdness,1,7.1984708173860685,0.9879519752346158,8
nightmarish,1,7.1984708173860685,0.9879519752346158,8
industrial,1,7.1984708173860685,0.9879519752346158,8
murder,1,7.046467723941019,0.9864459721389427,9
chao,1,7.046467723941019,0.9864459721389427,9
scienc,1,7.046467723941019,0.9864459721389427,9
looked,1,7.046467723941019,0.9864459721389427,9
horribl,1,7.046467723941019,0.9864459721389427,9
jarring,1,7.046467723941019,0.9864459721389427,9
intended,1,7.046467723941019,0.9864459721389427,9
angl,1,7.046467723941019,0.9864459721389427,9
terrifying,1,7.046467723941019,0.9864459721389427,9
began,1,7.046467723941019,0.9864459721389427,9
convoluted,1,7.046467723941019,0.9864459721389427,9
unsatisfying,1,7.046467723941019,0.9864459721389427,9
whilst,1,7.046467723941019,0.9864459721389427,9
law,1,7.046467723941019,0.9864459721389427,9
coop,1,7.046467723941019,0.9864459721389427,9
doubl,1,6.908964200191083,0.9849399690432697,10
baby,1,6.908964200191083,0.9849399690432697,10
condition,1,6.908964200191083,0.9849399690432697,10
jess,1,6.908964200191083,0.9849399690432697,10
shooter,1,6.908964200191083,0.9849399690432697,10
willing,1,6.908964200191083,0.9849399690432697,10
metaphor,1,6.908964200191083,0.9849399690432697,10
anxiety,1,6.908964200191083,0.9849399690432697,10
typical,1,6.908964200191083,0.9849399690432697,10
anti,1,6.908964200191083,0.9849399690432697,10
depressing,1,6.783433318107225,0.9834339659475967,11
eeri,1,6.783433318107225,0.9834339659475967,11
description,1,6.783433318107225,0.9834339659475967,11
via,1,6.783433318107225,0.9834339659475967,11
discovery,1,6.783433318107225,0.9834339659475967,11
breathtaking,1,6.783433318107225,0.9834339659475967,11
settlement,1,6.783433318107225,0.9834339659475967,11
cheap,1,6.783433318107225,0.9834339659475967,11
mark,1,6.783433318107225,0.9834339659475967,11
russian,1,6.783433318107225,0.9834339659475967,11
vision,1,6.783433318107225,0.9834339659475967,11
user,1,6.783433318107225,0.9834339659475967,11
reflection,1,6.783433318107225,0.9834339659475967,11
u,1,6.783433318107225,0.9834339659475967,11
literal,1,6.667956100687289,0.9819279628519236,12
twin,1,6.667956100687289,0.9819279628519236,12
balanc,1,6.667956100687289,0.9819279628519236,12
camera,1,6.667956100687289,0.9819279628519236,12
pass,1,6.667956100687289,0.9819279628519236,12
dull,1,6.667956100687289,0.9819279628519236,12
narration,1,6.667956100687289,0.9819279628519236,12
endless,1,6.667956100687289,0.9819279628519236,12
landscap,1,6.667956100687289,0.9819279628519236,12
intriguing,1,6.667956100687289,0.9819279628519236,12
creepy,1,6.667956100687289,0.9819279628519236,12
narrator,1,6.667956100687289,0.9819279628519236,12
grind,1,6.561040896770777,0.9804219597562506,13
suck,1,6.561040896770777,0.9804219597562506,13
likely,1,6.561040896770777,0.9804219597562506,13
interfac,1,6.561040896770777,0.9804219597562506,13
serv,1,6.561040896770777,0.9804219597562506,13
gorgeou,1,6.461505223219862,0.9789159566605776,14
peak,1,6.461505223219862,0.9789159566605776,14
slowly,1,6.461505223219862,0.9789159566605776,14
pure,1,6.461505223219862,0.9789159566605776,14
unless,1,6.461505223219862,0.9789159566605776,14
girl,1,6.461505223219862,0.9789159566605776,14
draw,1,6.461505223219862,0.9789159566605776,14
david,1,6.461505223219862,0.9789159566605776,14
existential,1,6.461505223219862,0.9789159566605776,14
leaving,1,6.461505223219862,0.9789159566605776,14
commentary,1,6.461505223219862,0.9789159566605776,14
management,1,6.368395818828381,0.9774099535649046,15
gave,1,6.368395818828381,0.9774099535649046,15
history,1,6.368395818828381,0.9774099535649046,15
asid,1,6.368395818828381,0.9774099535649046,15
moral,1,6.368395818828381,0.9774099535649046,15
tast,1,6.368395818828381,0.9774099535649046,15
country,1,6.368395818828381,0.9774099535649046,15
straight,1,6.280932977578042,0.9759039504692315,16
forced,1,6.280932977578042,0.9759039504692315,16
navigat,1,6.280932977578042,0.9759039504692315,16
tiny,1,6.280932977578042,0.9759039504692315,16
dr,1,6.280932977578042,0.9759039504692315,16
wild,1,6.280932977578042,0.9759039504692315,16
twist,1,6.280932977578042,0.9759039504692315,16
deliver,1,6.1984708173860685,0.9743979473735584,17
humor,1,6.1984708173860685,0.9743979473735584,17
provid,1,6.1984708173860685,0.9743979473735584,17
mess,1,6.1984708173860685,0.9743979473735584,17
seriously,1,6.1984708173860685,0.9743979473735584,17
existenc,1,6.1984708173860685,0.9743979473735584,17
fp,1,6.1984708173860685,0.9743979473735584,17
presented,1,6.1204683053847955,0.9728919442778855,18
impossibl,1,6.1204683053847955,0.9728919442778855,18
pain,1,6.1204683053847955,0.9728919442778855,18
car,1,6.1204683053847955,0.9728919442778855,18
fail,1,6.1204683053847955,0.9728919442778855,18
society,1,6.1204683053847955,0.9728919442778855,18
zero,1,6.1204683053847955,0.9728919442778855,18
huge,1,6.046467723941019,0.9713859411822124,19
nor,1,6.046467723941019,0.9713859411822124,19
class,1,6.046467723941019,0.9713859411822124,19
fiction,1,6.046467723941019,0.9713859411822124,19
hate,1,6.046467723941019,0.9713859411822124,19
