collocate,window_freq,pmi,t_score,global_freq
german,2,5.413544873474711,1.3668781364916553,20
heard,2,5.413544873474711,1.3668781364916553,20
okay,2,5.413544873474711,1.3668781364916553,20
extra,2,5.346430677616174,1.3645113651975835,21
wonderful,2,5.346430677616174,1.3645113651975835,21
wer,2,5.346430677616174,1.3645113651975835,21
created,2,5.220899795532315,1.3597778226094395,23
imagin,2,5.220899795532315,1.3597778226094395,23
interested,2,5.220899795532315,1.3597778226094395,23
sen,2,5.220899795532315,1.3597778226094395,23
heavy,2,5.220899795532315,1.3597778226094395,23
loved,2,5.162006106478747,1.3574110513153674,24
pode,2,5.162006106478747,1.3574110513153674,24
master,2,5.105422578112379,1.3550442800212954,25
história,2,5.105422578112379,1.3550442800212954,25
же,2,5.105422578112379,1.3550442800212954,25
living,2,5.105422578112379,1.3550442800212954,25
sourc,2,5.050974794090003,1.3526775087272236,26
head,2,5.050974794090003,1.3526775087272236,26
learn,2,5.050974794090003,1.3526775087272236,26
logic,2,4.998507374195867,1.3503107374331516,27
meaning,2,4.998507374195867,1.3503107374331516,27
hope,2,4.998507374195867,1.3503107374331516,27
type,2,4.998507374195867,1.3503107374331516,27
mix,2,4.947881301125899,1.3479439661390795,28
dont,2,4.947881301125899,1.3479439661390795,28
indi,2,4.947881301125899,1.3479439661390795,28
doch,2,4.947881301125899,1.3479439661390795,28
home,2,4.947881301125899,1.3479439661390795,28
line,2,4.947881301125899,1.3479439661390795,28
note,2,4.898971700644952,1.3455771948450077,29
insid,2,4.898971700644952,1.3455771948450077,29
hidd,2,4.898971700644952,1.3455771948450077,29
stuck,2,4.851665985866596,1.3432104235509357,30
film,2,4.851665985866596,1.3432104235509357,30
bem,2,4.851665985866596,1.3432104235509357,30
könn,2,4.851665985866596,1.3432104235509357,30
todo,2,4.805862296253471,1.3408436522568636,31
simulator,2,4.761468176895018,1.3384768809627918,32
ao,2,4.761468176895018,1.3384768809627918,32
к,2,4.718399455003132,1.3361101096687196,33
aesthetic,2,4.718399455003132,1.3361101096687196,33
são,2,4.676579279308505,1.3337433383746478,34
coupl,2,4.635937294811159,1.3313765670805757,35
enjoyed,2,4.635937294811159,1.3313765670805757,35
word,2,4.596408930624521,1.3290097957865037,36
gibt,2,4.557934782809886,1.3266430244924319,37
behind,2,4.520460077391223,1.3242762531983598,38
werd,2,4.483934201366109,1.3219094819042878,39
term,2,4.483934201366109,1.3219094819042878,39
mi,2,4.448310291635387,1.319542710610216,40
gioco,2,4.379597541551373,1.314809168022072,42
по,2,4.379597541551373,1.314809168022072,42
n,2,4.379597541551373,1.314809168022072,42
hier,2,4.346430677616174,1.312442396728,43
version,2,4.346430677616174,1.312442396728,43
expect,2,4.346430677616174,1.312442396728,43
то,2,4.346430677616174,1.312442396728,43
during,2,4.346430677616174,1.312442396728,43
rpg,2,4.346430677616174,1.312442396728,43
rätsel,2,4.314009199923796,1.3100756254339279,44
iyi,2,4.314009199923796,1.3100756254339279,44
с,2,4.251273444575833,1.305342082845784,46
del,2,4.191152452138263,1.3006085402576402,48
cours,2,4.133436954281976,1.295874997669496,50
ganz,2,4.133436954281976,1.295874997669496,50
stanley,2,4.105422578112379,1.2935082263754243,51
etc,2,4.105422578112379,1.2935082263754243,51
i'd,2,4.077941841690272,1.291141455081352,52
strang,2,4.077941841690272,1.291141455081352,52
muito,2,4.050974794090003,1.2887746837872802,53
although,2,4.050974794090003,1.2887746837872802,53
dream,2,4.050974794090003,1.2887746837872802,53
form,2,4.024502582728812,1.2864079124932082,54
rest,2,4.024502582728812,1.2864079124932082,54
left,2,3.9985073741958668,1.2840411411991361,55
grand,2,3.9985073741958668,1.2840411411991361,55
journey,2,3.972972282088729,1.2816743699050643,56
said,2,3.947881301125899,1.2793075986109923,57
him,2,3.92321924689163,1.2769408273169203,58
olarak,2,3.851665985866596,1.2698405134347044,61
set,2,3.7397731057956984,1.2580066569643444,66
gibi,2,3.7183994550031314,1.2556398856702726,67
achievement,2,3.6973378394753023,1.2532731143762006,68
death,2,3.6973378394753023,1.2532731143762006,68
didn't,2,3.656115176748789,1.2485395717880565,70
you'll,2,3.5964089306245213,1.2414392579058406,73
element,2,3.5964089306245213,1.2414392579058406,73
control,2,3.5204600773912227,1.2319721727295527,77
overall,2,3.5204600773912227,1.2319721727295527,77
try,2,3.5020815480763683,1.229605401435481,78
kann,2,3.4839342013661088,1.2272386301414087,79
narrativ,2,3.4660122933688466,1.224871858847337,80
steam,2,3.4308228649065464,1.2201383162591928,82
avec,2,3.4135448734747107,1.217771544965121,83
d,2,3.3964713601157692,1.215404773671049,84
becom,2,3.3964713601157692,1.215404773671049,84
na,2,3.379597541551373,1.213038002376977,85
kind,2,3.379597541551373,1.213038002376977,85
almost,2,3.3629188004047426,1.210671231082905,86
rather,2,3.3629188004047426,1.210671231082905,86
give,2,3.3301288652870733,1.205937688494761,88
right,2,3.3140091999237966,1.2035709172006892,89
